0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:02 +0530] "GET /spicestore/customer.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:02 +0530] "GET /spicestore/css/customer.css HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:08 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:08 +0530] "GET /spicestore/css/userviewproduct.css HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:10 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:12 +0530] "GET /spicestore/cart.jsp HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:12 +0530] "GET /spicestore/css/cart.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:15 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:17 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:17 +0530] "GET /spicestore/css/indexb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/customerorders.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/css/myorders.css HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:19 +0530] "GET /spicestore/css/myod.jpg HTTP/1.1" 200 71167
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:21 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:24 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:26 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:27 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:32 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:34 +0530] "GET /spicestore/cart.jsp HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:37 +0530] "GET /spicestore/cartaction.jsp?netamt= HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:41 +0530] "GET /spicestore/userviewproduct.jsp?netamt= HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:54 +0530] "GET /spicestore/viewaction.jsp?prodid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:54 +0530] "GET /spicestore/userviewproduct.jsp?&frm=Cartform&msg=Item%20Added%20To%20Cart HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:59 +0530] "GET /spicestore/viewaction.jsp?prodid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:47:59 +0530] "GET /spicestore/userviewproduct.jsp?&frm=Cartform&msg=Item%20Added%20To%20Cart HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:02 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:19 +0530] "GET /spicestore/cartaction.jsp?orderid=4&pid=1&mrp=15.0&qty=2&subtotal=30&pid=2&mrp=45.0&qty=5&subtotal=225&netamt=255 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:19 +0530] "GET /spicestore/customer.jsp?&frm=cartaction&msg=Thank%20you%20for%20placing%20your%20order HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:31 +0530] "GET /spicestore/customerorders.jsp HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:35 +0530] "GET /spicestore/cviewitems.jsp?&orderid=4 HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:35 +0530] "GET /spicestore/css/viewitems.css HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:37 +0530] "GET /spicestore/customerorders.jsp?orderid=4 HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:43 +0530] "GET /spicestore/customer.jsp?status=orderplaced HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/home.jsp?&frm=logout&msg=Logged%20Out%20Succeessfully HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:46 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:51 +0530] "GET /spicestore/tandc.jsp HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [28/May/2021:21:48:56 +0530] "GET /spicestore/Aboutus.jsp HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [28/May/2021:21:49:00 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:49:04 +0530] "GET /spicestore/customer.jsp? HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [28/May/2021:21:49:06 +0530] "GET /spicestore/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:49:06 +0530] "GET /spicestore/home.jsp?&frm=logout&msg=Logged%20Out%20Succeessfully HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:03 +0530] "GET /spicestore/userviewproduct.jsp HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:03 +0530] "GET /spicestore/css/userviewproduct.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:07 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:07 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:07 +0530] "GET /spicestore/cart.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:07 +0530] "GET /spicestore/home.jsp?&frm=loginerr&msg=Please%20Login%20To%20Continue HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/adminlogin.jsp HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/css/login/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/css/login/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/js/ValidateForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:19 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:25 +0530] "POST /spicestore/AdminValidate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:25 +0530] "GET /spicestore/admin.jsp HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:25 +0530] "GET /spicestore/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:21:50:25 +0530] "GET /spicestore/css/indexb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:00:25 +0530] "GET /spicestore/home.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/May/2021:22:00:25 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:00:25 +0530] "GET /spicestore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:00:25 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:00:25 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:03:57 +0530] "GET /spicestore/home.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/May/2021:22:03:57 +0530] "GET /spicestore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:03:57 +0530] "GET /spicestore/image/chilli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:03:57 +0530] "GET /spicestore/image/spice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:03:57 +0530] "GET /spicestore/image/location.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/custlogin.jsp HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/css/login/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/css/login/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [28/May/2021:23:01:11 +0530] "GET /spicestore/css/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 1045
